id,image_id,category_id,segmentation,area,bbox,iscrowd,attributes,subset,set_type
13,18,26,"[[128.5, 343.0, 139.12, 373.25, 145.12, 370.25, 142.12, 361.25, 139.25, 350.5, 134.38, 341.75]]",213.0,"[128.5, 341.75, 16.62, 31.5]",0,{'occluded': False},train,stenosis
14,48,26,"[[284.75, 180.38, 283.75, 172.0, 288.0, 171.62, 291.5, 171.5, 294.75, 172.25, 297.75, 173.25, 301.5, 174.0, 304.75, 174.88, 307.5, 175.5, 310.5, 176.12, 313.25, 177.0, 316.25, 177.75, 319.0, 178.0, 321.0, 178.25, 323.25, 178.12, 326.25, 178.0, 329.25, 179.0, 332.5, 179.88, 335.5, 181.0, 338.5, 182.38, 341.5, 183.62, 344.5, 184.62, 347.5, 185.62, 350.25, 187.5, 353.0, 188.88, 358.25, 192.25, 361.0, 193.88, 363.75, 195.5, 366.75, 196.88, 370.0, 197.88, 373.0, 198.62, 376.0, 199.88, 378.5, 202.0, 375.75, 207.38, 373.25, 205.25, 370.75, 203.25, 368.0, 201.62, 365.0, 200.62, 362.0, 200.25, 359.0, 199.5, 356.0, 197.88, 353.75, 196.0, 351.0, 194.75, 348.5, 193.25, 345.5, 192.0, 343.0, 190.62, 340.0, 189.25, 337.5, 188.0, 334.25, 187.0, 331.5, 186.5, 328.25, 185.62, 325.25, 185.62, 322.0, 185.5, 318.75, 185.5, 315.75, 185.0, 312.75, 184.25, 309.5, 183.75, 306.5, 183.38, 303.5, 182.62, 300.5, 181.88, 297.25, 180.88, 294.0, 180.12, 291.0, 179.62, 288.0, 179.38]]",652.0,"[283.75, 171.5, 94.75, 35.88]",0,{'occluded': False},train,stenosis
15,48,26,"[[125.25, 205.88, 135.38, 200.62, 133.38, 196.62, 131.0, 192.88, 129.12, 188.5, 127.81, 183.75, 127.0, 179.88, 125.62, 175.75, 125.12, 171.5, 124.5, 167.12, 124.81, 162.5, 125.56, 158.25, 127.31, 154.12, 129.62, 150.38, 132.5, 147.0, 134.75, 143.25, 137.25, 139.25, 139.38, 136.25, 142.38, 133.12, 146.88, 129.75, 150.0, 128.25, 153.62, 126.38, 157.38, 124.62, 168.12, 117.69, 172.38, 115.5, 176.38, 113.75, 180.75, 112.88, 185.0, 112.88, 189.38, 113.44, 194.62, 102.5, 190.0, 102.5, 185.38, 102.5, 180.75, 102.5, 176.38, 103.06, 172.0, 103.94, 168.12, 105.31, 164.38, 107.62, 160.38, 110.12, 156.62, 112.5, 152.88, 114.81, 148.75, 116.81, 145.25, 119.0, 140.88, 121.19, 137.12, 124.12, 133.5, 127.19, 130.62, 130.25, 127.31, 133.62, 124.69, 137.38, 122.38, 141.12, 119.5, 144.88, 117.5, 149.0, 115.81, 152.75, 115.12, 157.25, 114.69, 161.88, 114.69, 166.25, 114.81, 170.0, 115.31, 174.62, 116.31, 179.25, 117.12, 183.75, 117.81, 188.12, 119.5, 192.25, 121.5, 196.38, 123.25, 200.38]]",1488.0,"[114.69, 102.5, 79.93, 103.38]",0,{'occluded': False},train,stenosis
16,538,26,"[[340.75, 202.0, 329.0, 199.25, 342.5, 185.75, 354.0, 174.12, 361.5, 164.5, 371.5, 168.38, 359.75, 182.25, 351.25, 191.88]]",459.0,"[329.0, 164.5, 42.5, 37.5]",0,{'occluded': False},train,stenosis
17,442,26,"[[334.25, 156.0, 369.25, 153.12, 369.25, 147.75, 352.75, 146.0, 334.25, 146.5, 331.25, 153.12]]",296.0,"[331.25, 146.0, 38.0, 10.0]",0,{'occluded': False},train,stenosis
18,859,26,"[[102.31, 108.31, 103.06, 118.19, 98.5, 118.94, 94.88, 119.62, 91.25, 120.38, 87.88, 121.81, 84.5, 122.69, 80.81, 123.5, 76.69, 123.62, 73.19, 124.31, 69.62, 125.44, 66.0, 126.12, 59.31, 128.62, 55.59, 130.25, 52.41, 131.25, 49.69, 133.62, 46.28, 135.5, 43.62, 138.12, 40.59, 140.75, 38.31, 143.38, 36.19, 146.62, 34.69, 149.5, 33.5, 152.75, 32.31, 156.5, 31.3, 160.0, 30.7, 163.75, 30.59, 167.38, 30.88, 171.12, 31.2, 174.62, 31.41, 178.25, 31.7, 181.88, 32.31, 185.0, 32.81, 188.62, 33.59, 192.25, 34.69, 194.38, 36.69, 197.38, 39.0, 200.25, 40.81, 203.0, 43.41, 205.62, 47.19, 208.25, 50.81, 211.25, 45.56, 221.5, 41.22, 217.38, 38.56, 214.75, 35.44, 212.5, 33.03, 209.62, 30.88, 206.5, 28.7, 203.38, 26.53, 200.25, 24.61, 197.12, 23.66, 193.5, 22.8, 189.25, 21.8, 185.88, 21.0, 181.62, 20.5, 178.12, 20.8, 174.12, 20.59, 171.25, 20.8, 167.5, 21.3, 164.5, 21.72, 161.25, 22.2, 157.62, 23.41, 154.0, 24.61, 150.5, 26.3, 146.88, 28.22, 143.75, 30.41, 139.75, 32.69, 137.12, 35.0, 134.25, 38.0, 131.25, 40.25, 129.25, 43.38, 127.31, 47.0, 125.44, 50.59, 123.5, 54.22, 122.06, 57.81, 120.62, 61.44, 119.62, 65.06, 118.44, 68.62, 117.5, 72.25, 117.0, 76.81, 116.25, 80.44, 116.0, 83.81, 114.88, 87.0, 114.31, 89.81, 113.38]]",1441.0,"[20.5, 108.31, 82.56, 113.19]",0,{'occluded': False},train,stenosis
19,494,26,"[[234.25, 72.12, 232.0, 65.31, 245.38, 65.0, 260.0, 69.19, 274.75, 77.38, 283.25, 91.19, 275.25, 94.62, 267.25, 81.44, 255.25, 75.31]]",448.0,"[232.0, 65.0, 51.25, 29.62]",0,{'occluded': False},train,stenosis
20,494,26,"[[242.75, 195.12, 250.12, 194.62, 242.25, 220.88, 240.0, 227.62, 249.5, 242.88, 244.25, 256.5, 238.25, 252.75, 242.75, 242.88, 233.5, 227.75, 235.5, 219.75, 239.5, 207.75]]",408.0,"[233.5, 194.62, 16.62, 61.88]",0,{'occluded': False},train,stenosis
21,764,26,"[[284.5, 110.38, 294.0, 131.12, 301.75, 143.0, 311.25, 157.25, 327.25, 152.5, 311.25, 138.25, 306.5, 131.12, 304.0, 121.62, 296.25, 104.44]]",694.0,"[284.5, 104.44, 42.75, 52.81]",0,{'occluded': False},train,stenosis
22,353,26,"[[327.25, 271.5, 330.5, 260.25, 344.0, 269.5, 356.75, 279.5, 369.25, 298.25, 378.0, 315.5, 382.25, 337.0, 371.25, 338.75, 368.0, 320.0, 361.5, 305.25, 347.25, 286.75]]",993.0,"[327.25, 260.25, 55.0, 78.5]",0,{'occluded': False},train,stenosis
23,258,26,"[[266.0, 241.5, 273.5, 235.88, 278.75, 259.25, 288.0, 283.0, 299.5, 310.25, 308.5, 325.5, 313.5, 332.25, 305.75, 335.25, 289.25, 306.0, 273.0, 263.75]]",768.0,"[266.0, 235.88, 47.5, 99.37]",0,{'occluded': False},train,stenosis
24,289,26,"[[245.25, 196.75, 243.5, 205.88, 248.75, 206.75, 254.75, 207.38, 265.25, 209.12, 270.75, 210.75, 271.75, 200.62, 265.25, 200.12, 260.0, 199.38, 255.88, 198.5, 250.75, 198.0]]",249.0,"[243.5, 196.75, 28.25, 14.0]",0,{'occluded': False},train,stenosis
25,13,26,"[[241.25, 100.25, 246.38, 92.56, 250.38, 94.25, 253.5, 96.38, 256.75, 97.69, 260.25, 99.5, 263.25, 101.31, 266.25, 103.38, 269.75, 104.81, 272.75, 106.75, 275.75, 109.12, 278.25, 111.81, 281.0, 114.69, 283.5, 117.56, 285.5, 120.69, 277.75, 130.12, 275.5, 126.94, 274.0, 123.56, 272.25, 120.19, 270.0, 117.12, 267.0, 114.81, 264.75, 113.5, 261.5, 111.19, 258.75, 109.69, 254.75, 107.5, 251.88, 106.12, 248.25, 104.0]]",486.0,"[241.25, 92.56, 44.25, 37.56]",0,{'occluded': False},train,stenosis
26,303,26,"[[144.25, 132.0, 144.0, 144.12, 147.75, 145.0, 152.12, 145.75, 156.38, 146.25, 160.75, 147.12, 165.12, 147.38, 169.75, 147.38, 174.0, 146.75, 178.38, 147.12, 182.75, 148.5, 186.75, 139.25, 182.38, 137.88, 178.12, 137.5, 173.75, 137.0, 169.88, 137.25, 166.62, 137.62, 161.5, 137.62, 157.38, 136.75, 153.88, 136.38]]",410.0,"[144.0, 132.0, 42.75, 16.5]",0,{'occluded': False},train,stenosis
27,303,26,"[[178.75, 100.69, 177.75, 85.81, 182.88, 85.12, 188.12, 86.5, 192.25, 86.81, 196.88, 87.62, 201.75, 88.31, 206.62, 88.5, 211.25, 89.12, 216.25, 89.12, 221.0, 88.62, 226.62, 88.38, 232.38, 89.81, 237.12, 93.38, 241.12, 96.19, 246.25, 97.56, 251.5, 98.25, 256.75, 100.0, 257.5, 108.31, 252.25, 107.62, 247.0, 105.88, 241.75, 104.88, 236.62, 103.81, 231.38, 102.44, 226.25, 101.06, 221.0, 100.38, 215.88, 100.0, 210.25, 100.0, 205.12, 100.38, 199.5, 100.38, 194.0, 100.38, 188.5, 100.38, 182.88, 100.38]]",900.0,"[177.75, 85.12, 79.75, 23.19]",0,{'occluded': False},train,stenosis
28,303,26,"[[266.5, 75.06, 265.25, 82.69, 271.0, 82.69, 276.5, 82.69, 282.25, 83.0, 287.5, 84.06, 292.75, 84.75, 298.0, 84.62, 303.5, 84.69, 309.0, 85.31, 312.25, 78.19, 307.0, 77.12, 301.5, 77.12, 296.25, 77.81, 291.0, 77.31, 285.75, 77.0, 281.5, 76.5, 275.0, 75.88]]",328.0,"[265.25, 75.06, 47.0, 10.25]",0,{'occluded': False},train,stenosis
29,788,26,"[[202.0, 212.38, 209.5, 211.25, 213.88, 235.12, 201.0, 274.0, 188.25, 317.25, 181.5, 316.5, 195.38, 269.5, 207.75, 236.75]]",704.0,"[181.5, 211.25, 32.38, 106.0]",0,{'occluded': False},train,stenosis
30,835,26,"[[83.0, 223.62, 84.88, 238.5, 80.62, 239.0, 76.12, 239.12, 71.81, 239.12, 67.62, 239.12, 63.09, 239.62, 59.34, 241.25, 55.88, 244.25, 52.97, 247.62, 50.09, 251.12, 48.09, 254.88, 46.31, 258.75, 45.09, 263.0, 45.5, 267.25, 46.41, 271.5, 47.5, 275.75, 49.53, 279.75, 51.53, 283.75, 52.97, 288.0, 55.0, 292.25, 56.75, 296.25, 58.47, 300.25, 58.47, 304.75, 59.34, 309.25, 60.5, 313.5, 62.81, 317.25, 65.0, 321.25, 67.38, 324.5, 61.06, 329.0, 57.81, 326.25, 55.0, 322.5, 53.56, 318.0, 51.91, 313.0, 51.0, 310.25, 49.59, 306.0, 48.5, 303.0, 47.0, 300.0, 44.41, 296.0, 42.59, 291.75, 41.19, 287.5, 39.19, 283.25, 38.19, 279.5, 37.31, 276.0, 36.81, 271.75, 37.0, 267.0, 37.0, 262.0, 37.59, 257.5, 38.31, 252.88, 39.41, 248.75, 41.5, 244.75, 43.91, 241.38, 46.91, 237.5, 49.22, 233.75, 52.69, 230.88, 56.75, 229.12, 61.06, 228.0, 65.38, 226.62, 69.62, 225.75, 74.0, 225.25, 78.0, 225.12]]",1367.0,"[36.81, 223.62, 48.07, 105.38]",0,{'occluded': False},train,stenosis
31,835,26,"[[186.38, 369.5, 183.75, 376.5, 185.88, 377.75, 188.38, 378.25, 191.12, 379.25, 193.75, 379.75, 196.25, 380.5, 199.0, 381.5, 201.62, 382.25, 204.25, 383.0, 206.75, 383.5, 209.38, 384.5, 211.75, 385.25, 214.5, 386.0, 216.88, 386.5, 219.38, 387.5, 222.0, 388.5, 224.0, 389.5, 226.88, 390.0, 229.25, 391.5, 231.5, 392.75, 233.88, 393.5, 236.25, 394.75, 238.75, 396.0, 241.12, 397.5, 243.62, 398.75, 245.88, 393.5, 242.75, 391.75, 240.25, 391.0, 237.75, 390.25, 235.38, 389.25, 233.25, 388.0, 231.0, 386.5, 228.5, 385.5, 226.0, 385.0, 223.62, 384.0, 221.25, 383.0, 218.88, 382.0, 216.25, 381.25, 214.0, 380.5, 211.5, 379.75, 209.12, 378.5, 206.62, 377.5, 204.12, 376.5, 201.5, 375.5, 199.0, 374.75, 196.75, 373.5, 194.25, 372.5, 191.75, 371.75, 189.75, 370.75]]",365.0,"[183.75, 369.5, 62.13, 29.25]",0,{'occluded': False},train,stenosis
32,150,26,"[[213.25, 109.19, 214.25, 121.25, 205.75, 122.75, 198.62, 124.31, 192.38, 125.75, 187.25, 128.25, 182.88, 131.25, 178.75, 137.12, 176.12, 143.12, 170.62, 151.75, 160.75, 145.88, 167.62, 133.38, 172.62, 124.94, 174.75, 120.25, 177.25, 118.94, 179.25, 117.62, 194.38, 110.38, 210.62, 109.12]]",811.0,"[160.75, 109.12, 53.5, 42.63]",0,{'occluded': False},train,stenosis
33,908,26,"[[226.12, 113.25, 223.62, 120.25, 229.0, 125.19, 235.12, 127.75, 240.88, 128.62, 247.0, 127.69, 253.62, 125.88, 260.5, 124.5, 267.25, 121.75, 272.0, 120.81, 274.25, 122.38, 275.75, 125.25, 275.0, 129.62, 274.25, 136.25, 273.5, 140.62, 272.25, 145.62, 270.5, 149.25, 279.0, 153.62, 280.75, 148.12, 281.75, 144.62, 282.25, 139.62, 282.5, 134.0, 283.0, 128.12, 282.75, 122.56, 282.25, 117.25, 281.0, 113.88, 277.5, 112.06, 274.0, 111.19, 269.5, 112.25, 266.25, 113.19, 263.5, 114.75, 259.75, 116.0, 254.12, 117.0, 249.5, 117.75, 243.25, 117.75, 237.62, 117.5, 231.5, 116.19]]",796.0,"[223.62, 111.19, 59.38, 42.43]",0,{'occluded': False},train,stenosis
34,908,26,"[[136.75, 260.5, 153.75, 256.5, 157.88, 292.75, 155.88, 325.25, 154.75, 353.5, 136.88, 355.5, 139.25, 338.5, 141.0, 291.5]]",1605.0,"[136.75, 256.5, 21.13, 99.0]",0,{'occluded': False},train,stenosis
35,95,26,"[[210.38, 246.88, 207.38, 271.25, 208.0, 286.5, 213.88, 286.5, 219.88, 267.0, 219.88, 242.12, 209.75, 243.25]]",439.0,"[207.38, 242.12, 12.5, 44.38]",0,{'occluded': False},train,stenosis
36,710,26,"[[203.5, 114.94, 200.75, 124.0, 203.88, 125.0, 206.0, 125.56, 207.88, 126.69, 209.75, 127.62, 211.12, 129.25, 212.88, 130.75, 214.38, 132.38, 216.25, 133.62, 217.88, 135.0, 219.5, 136.38, 221.38, 138.0, 222.88, 139.5, 224.25, 141.12, 225.75, 142.62, 227.25, 144.5, 228.75, 146.12, 229.88, 148.0, 230.62, 149.88, 231.5, 151.88, 237.88, 149.0, 237.12, 146.88, 236.0, 145.0, 234.88, 143.12, 233.88, 141.12, 233.0, 139.25, 231.62, 137.5, 230.0, 136.12, 228.38, 134.62, 227.0, 133.38, 225.75, 132.0, 224.25, 130.25, 222.75, 128.88, 221.38, 127.19, 220.0, 125.12, 218.88, 123.5, 217.25, 122.69, 215.62, 121.38, 214.0, 120.0, 212.0, 119.0, 210.25, 117.88, 207.5, 116.38]]",368.0,"[200.75, 114.94, 37.13, 36.94]",0,{'occluded': False},train,stenosis
37,519,26,"[[205.0, 194.62, 204.38, 185.75, 231.12, 176.25, 243.5, 175.62, 259.0, 174.5, 260.25, 184.5, 235.25, 189.25, 215.12, 192.88, 206.75, 195.75]]",643.0,"[204.38, 174.5, 55.87, 21.25]",0,{'occluded': False},train,stenosis
38,976,26,"[[161.0, 256.0, 174.5, 248.38, 176.25, 251.62, 177.75, 255.12, 179.25, 257.75, 180.38, 261.0, 181.75, 265.0, 182.75, 268.0, 183.75, 271.0, 185.25, 274.0, 187.25, 277.25, 188.88, 280.5, 175.12, 286.25, 174.25, 282.5, 172.25, 279.5, 171.0, 276.0, 170.12, 272.75, 169.12, 269.0, 167.25, 266.0, 165.25, 262.25]]",491.0,"[161.0, 248.38, 27.88, 37.87]",0,{'occluded': False},train,stenosis
39,925,26,"[[186.75, 120.0, 195.5, 106.25, 197.88, 109.12, 201.75, 110.56, 205.38, 110.81, 208.88, 111.06, 212.5, 112.25, 215.88, 113.75, 219.0, 115.62, 221.62, 118.31, 224.62, 120.69, 227.5, 123.12, 229.88, 126.38, 222.38, 132.5, 219.75, 129.62, 217.38, 126.75, 214.62, 123.88, 211.75, 122.38, 208.62, 121.0, 205.25, 119.88, 201.5, 119.81, 197.88, 120.12, 194.25, 120.44]]",407.0,"[186.75, 106.25, 43.13, 26.25]",0,{'occluded': False},train,stenosis
40,925,26,"[[203.25, 110.25, 209.5, 109.31, 216.5, 107.19, 224.25, 106.06, 230.25, 104.5, 238.88, 103.75, 245.88, 102.81, 254.12, 102.69, 252.38, 110.0, 247.0, 110.0, 242.25, 110.81, 235.62, 112.19, 227.0, 113.12, 219.0, 114.5, 213.75, 115.06]]",334.0,"[203.25, 102.69, 50.87, 12.37]",0,{'occluded': False},train,stenosis
41,236,26,"[[150.5, 44.28, 140.5, 45.81, 134.25, 48.16, 124.44, 50.97, 119.0, 53.31, 113.0, 58.62, 108.25, 64.31, 104.62, 69.88, 102.62, 75.88, 102.12, 83.19, 102.31, 89.69, 103.5, 96.75, 106.44, 102.38, 113.56, 98.44, 111.31, 94.44, 110.5, 90.38, 111.5, 83.81, 113.12, 75.75, 115.81, 71.44, 119.25, 67.81, 124.69, 63.06, 131.5, 59.72, 138.38, 57.62, 148.12, 55.69, 152.5, 56.12]]",808.0,"[102.12, 44.28, 50.38, 58.1]",0,{'occluded': False},train,stenosis
42,930,26,"[[120.19, 125.19, 94.06, 164.38, 70.31, 197.62, 70.94, 223.12, 81.62, 223.12, 82.19, 197.62, 101.19, 172.62, 129.0, 136.5, 123.12, 124.0]]",1233.0,"[70.31, 124.0, 58.69, 99.12]",0,{'occluded': False},train,stenosis
43,851,26,"[[136.88, 76.31, 144.75, 72.25, 151.88, 77.44, 157.75, 83.81, 163.12, 92.44, 169.0, 102.0, 175.88, 111.25, 179.62, 119.88, 185.12, 131.5, 186.88, 144.12, 177.88, 145.88, 177.0, 136.12, 173.62, 129.12, 169.88, 119.88, 164.62, 110.62, 159.38, 104.0, 152.75, 92.44, 144.75, 84.06]]",769.0,"[136.88, 72.25, 50.0, 73.63]",0,{'occluded': False},train,stenosis
44,851,26,"[[201.38, 79.31, 206.88, 86.5, 209.25, 85.38, 211.38, 84.31, 213.75, 83.88, 216.38, 83.69, 219.0, 83.69, 221.12, 83.81, 224.0, 84.5, 226.25, 85.88, 228.62, 87.19, 230.88, 88.5, 235.62, 82.88, 230.62, 80.19, 228.12, 79.0, 225.88, 78.19, 223.25, 77.62, 220.75, 77.12, 218.5, 77.19, 215.5, 77.31, 212.88, 77.19, 210.25, 77.81, 207.5, 78.12]]",214.0,"[201.38, 77.12, 34.24, 11.38]",0,{'occluded': False},train,stenosis
45,851,26,"[[186.88, 82.88, 191.25, 76.5, 193.62, 77.88, 195.75, 78.69, 198.38, 80.19, 201.0, 81.0, 202.75, 83.0, 204.25, 84.88, 206.25, 86.88, 207.75, 89.19, 209.25, 91.19, 211.5, 93.31, 213.0, 95.12, 214.75, 97.0, 216.62, 99.31, 218.0, 101.56, 219.75, 103.44, 221.12, 105.56, 222.75, 107.56, 224.5, 109.56, 225.5, 111.94, 226.25, 114.44, 220.12, 119.12, 218.62, 116.25, 217.62, 113.75, 216.62, 111.25, 214.88, 109.62, 213.25, 106.69, 211.88, 104.19, 210.75, 102.0, 209.38, 99.81, 207.62, 97.62, 205.88, 96.0, 204.12, 93.81, 202.75, 91.81, 201.25, 90.12, 199.62, 88.5, 197.25, 87.0, 195.38, 86.0, 193.25, 84.69]]",343.0,"[186.88, 76.5, 39.37, 42.62]",0,{'occluded': False},train,stenosis
46,903,26,"[[104.12, 274.0, 100.0, 323.25, 107.69, 337.5, 112.44, 336.5, 104.75, 321.5, 108.88, 283.5, 109.5, 272.25, 104.75, 272.25]]",335.0,"[100.0, 272.25, 12.44, 65.25]",0,{'occluded': False},train,stenosis
47,32,26,"[[179.88, 120.62, 185.5, 117.31, 191.5, 115.88, 197.88, 115.19, 203.88, 115.62, 212.25, 116.88, 218.0, 118.69, 223.25, 120.31, 218.5, 132.5, 215.5, 130.25, 211.5, 128.75, 206.38, 127.19, 201.25, 126.31, 195.88, 127.19, 191.5, 129.12, 186.75, 132.0]]",474.0,"[179.88, 115.19, 43.37, 17.31]",0,{'occluded': False},train,stenosis
48,865,26,"[[58.47, 151.25, 65.0, 173.88, 81.0, 162.62, 102.94, 157.25, 113.62, 153.62, 105.94, 135.88, 58.47, 151.25]]",997.0,"[58.47, 135.88, 55.15, 38.0]",0,{'occluded': False},train,stenosis
49,156,26,"[[340.75, 289.0, 342.75, 282.25, 348.5, 282.0, 351.25, 282.5, 354.25, 285.25, 356.25, 287.0, 358.75, 290.0, 360.75, 293.75, 363.0, 298.0, 365.0, 301.25, 368.0, 308.25, 370.25, 313.0, 373.5, 317.5, 371.25, 322.5, 367.5, 318.75, 364.0, 314.75, 361.5, 310.5, 359.5, 305.75, 356.25, 299.0, 354.25, 295.5, 350.25, 291.5, 346.0, 289.25]]",332.0,"[340.75, 282.0, 32.75, 40.5]",0,{'occluded': False},train,stenosis
